activ_dense,activation,dropout_0,dropout_1,dropout_2,dropout_3,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,filters_6,global_pooling,k_0,k_1,k_2,k_3,k_4,k_5,k_6,l2,lr,s_0,s_1,s_2,stack_0,stack_1,stack_2,step,perf
softmax,sigmoid,0.6984248639452808,0.4178826861283607,0.1636013314444441,0.7956242040271445,56,214,149,302,132,271,152,True,4,4,1,2,4,1,5,0.0023575883290774344,0.25663797627507473,3,4,2,2,3,1,True,0.09799999993294478
softmax,elu,0.8041534638344876,0.7075250510951929,0.6942505192210328,0.3780551709916804,410,79,286,158,184,343,311,True,5,2,4,1,2,5,4,0.000174371228908535,0.671914111988661,4,1,3,3,3,3,True,0.08920000007376075
softmax,sigmoid,0.354134706962733,0.014608299780565335,0.2692990425263554,0.3184068590728408,585,498,151,34,442,26,564,True,1,3,3,4,4,3,4,0.004313710206414797,0.7188203886199663,2,4,1,1,3,2,True,0.11349999956786633
softmax,elu,0.6118848999829672,0.163997758897824,0.4611662979447236,0.529280138094035,562,199,39,285,30,570,362,False,5,2,3,3,2,5,2,0.0054384161822357046,0.7989109105438331,2,4,2,5,1,4,False,0.9365000021457672
softmax,elu,0.6118848999829672,0.163997758897824,0.4611662979447236,0.529280138094035,562,199,39,285,30,570,362,False,5,2,3,3,2,5,2,0.0054384161822357046,0.7989109105438331,2,4,2,5,1,4,False,0.9366000014543533
softmax,elu,0.6118848999829672,0.163997758897824,0.4611662979447236,0.529280138094035,562,199,39,285,30,570,362,False,5,2,3,3,2,5,2,0.0054384161822357046,0.7989109105438331,2,4,2,5,1,4,False,0.9344999998807907
softmax,elu,0.573661757971432,0.21031687338345287,0.6707215921524597,0.10341360923339321,219,524,584,387,319,557,484,False,2,4,3,4,5,1,3,0.0059733656118432805,0.839068100806754,4,3,4,1,1,3,False,0.09580000022426248
softmax,elu,0.573661757971432,0.21031687338345287,0.6707215921524597,0.10341360923339321,219,524,584,387,319,557,484,False,2,4,3,4,5,1,3,0.0059733656118432805,0.839068100806754,4,3,4,1,1,3,False,0.09820000045001506
softmax,selu,0.7851991346856881,0.6601536874834789,0.0750023369927484,0.8843388801275758,453,259,56,594,218,371,46,False,4,4,2,4,3,3,3,0.007989534459398661,0.8035953984141451,3,2,3,3,2,3,False,0.08920000007376075
softmax,selu,0.7424691135934912,0.8100944322177828,0.878426431795785,0.7737495005858595,481,129,517,567,517,528,67,True,3,2,5,3,2,3,2,0.008692701362410106,0.21423131941321427,1,4,1,2,2,1,True,0.11349999956786633
softmax,elu,0.5761927586110611,0.893186225698342,0.48934234760058193,0.07145506627870414,205,499,466,387,548,176,115,False,5,3,2,5,5,1,2,0.002828577542654675,0.5919776962638952,2,5,3,4,3,4,True,0.09799999993294478
